city,regime,kappa,units,tie_share_steps,mean_tied_families,fixed_index_gap_pct,full_dist_gap_pct,full_conformal_gap_pct,prop_tb_vs_direct_prop_pct,uniform_worst,fixed_below_identified,ranking
austin,scarce,1,415,1.0,5.588,-5.312,-0.7,-0.434,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,moderate,1,533,1.0,5.001,-7.796,-1.079,-0.675,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,generous,1,652,1.0,4.464,-16.35,-2.037,-1.279,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,scarce,5,83,1.0,5.559,-4.321,-0.531,-0.366,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,moderate,5,107,1.0,4.96,-6.472,-0.826,-0.576,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,generous,5,130,1.0,4.445,-13.34,-1.553,-1.069,0.004,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,scarce,10,41,1.0,5.559,-3.42,-0.439,-0.308,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,moderate,10,53,1.0,4.957,-5.077,-0.673,-0.478,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,generous,10,65,1.0,4.419,-10.793,-1.294,-0.899,0.004,True,True,point_greedy/proportional_unmet < proportional < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
austin,scarce,25,17,1.0,5.299,-2.291,-0.256,-0.199,0.0,True,True,proportional < =point_greedy/proportional_unmet < quantile_full_conformal < quantile_full < point_greedy/random_min < point_greedy/random_mean < point_greedy/random_max < median_arm/fixed_index < point_greedy/fixed_index < implied_mean_arm/fixed_index < uniform
