city,regime,units,policy,total_loss,pct_vs_uniform,pct_vs_proportional
austin,scarce,8,uniform,19977642.0,0.0,-21.94
austin,scarce,8,proportional,16383102.0,17.99,0.0
austin,scarce,8,quantile_full,16410288.0,17.86,-0.17
austin,scarce,8,point_greedy/fixed_index,16572872.0,17.04,-1.16
austin,scarce,8,point_greedy/random_mean,16406243.05,17.88,-0.14
austin,scarce,8,point_greedy/random_min,16397061.0,17.92,-0.08
austin,scarce,8,point_greedy/random_max,16412513.0,17.85,-0.18
austin,scarce,8,point_greedy/proportional_unmet,16381998.0,18.0,0.01
austin,scarce,8,point_greedy/largest_carryover,16383102.0,17.99,0.0
austin,scarce,8,point_greedy/largest_forecast,16658633.0,16.61,-1.68
austin,scarce,8,point_greedy/smallest_alloc,16428244.0,17.77,-0.28
austin,scarce,8,point_greedy_smoothed/fixed_index,16413629.0,17.84,-0.19
austin,scarce,8,median_arm/fixed_index,16570052.0,17.06,-1.14
austin,scarce,8,median_arm/proportional_unmet,16381998.0,18.0,0.01
austin,scarce,8,implied_mean_arm/fixed_index,16607397.0,16.87,-1.37
austin,scarce,8,implied_mean_arm/proportional_unmet,16381998.0,18.0,0.01
austin,moderate,11,uniform,17113888.0,0.0,-60.67
austin,moderate,11,proportional,10651410.0,37.76,0.0
austin,moderate,11,quantile_full,10679297.0,37.6,-0.26
austin,moderate,11,point_greedy/fixed_index,10869184.0,36.49,-2.04
austin,moderate,11,point_greedy/random_mean,10699292.1,37.48,-0.45
austin,moderate,11,point_greedy/random_min,10690404.0,37.53,-0.37
austin,moderate,11,point_greedy/random_max,10709091.0,37.42,-0.54
austin,moderate,11,point_greedy/proportional_unmet,10648098.0,37.78,0.03
austin,moderate,11,point_greedy/largest_carryover,10649202.0,37.78,0.02
austin,moderate,11,point_greedy/largest_forecast,10986840.0,35.8,-3.15
austin,moderate,11,point_greedy/smallest_alloc,10723119.0,37.34,-0.67
austin,moderate,11,point_greedy_smoothed/fixed_index,10683405.0,37.58,-0.3
austin,moderate,11,median_arm/fixed_index,10865973.0,36.51,-2.01
austin,moderate,11,median_arm/proportional_unmet,10648098.0,37.78,0.03
austin,moderate,11,implied_mean_arm/fixed_index,10920984.0,36.19,-2.53
austin,moderate,11,implied_mean_arm/proportional_unmet,10648098.0,37.78,0.03
austin,generous,13,uniform,17099914.0,0.0,-150.06
austin,generous,13,proportional,6838453.0,60.01,0.0
austin,generous,13,quantile_full,6856849.0,59.9,-0.27
austin,generous,13,point_greedy/fixed_index,7085533.0,58.56,-3.61
austin,generous,13,point_greedy/random_mean,6889630.9,59.71,-0.75
austin,generous,13,point_greedy/random_min,6874922.0,59.8,-0.53
austin,generous,13,point_greedy/random_max,6902109.0,59.64,-0.93
